Route,Type,Time
23,Send,4/21/22 2:56 PM
3,Send,4/21/22 3:30 PM
32,Send,4/21/22 4:12 PM
13,Send,4/21/22 4:29 PM
38,Send,4/22/22 12:21 PM
3,Send,4/22/22 2:41 PM
23,Send,4/22/22 11:30 AM
13,Send,1/5/22 1:19 PM
38,Send,1/5/22 1:25 PM
35,Send,1/5/22 12:36 PM
32,Send,1/5/22 3:05 PM
3,Send,1/5/22 3:29 PM
23,Send,1/5/22 3:33 PM
13,Send,1/6/22 1:39 PM
13,Send,1/14/22 1:46 PM
38,Send,1/14/22 1:10 PM
38,Send,1/14/22 1:15 PM
35,Send,1/14/22 1:16 PM
32,Send,1/14/22 4:52 PM
23,Send,1/14/22 11:12 AM
3,Send,1/14/22 1:58 PM
35,Send,5/12/22 10:25 AM
32,Send,5/12/22 12:37 PM
23,Send,5/12/22 1:44 PM
38,Send,5/12/22 2:03 PM
32,Send,5/12/22 12:47 PM
13,Send,5/12/22 3:06 PM
3,Send,5/12/22 5:23 PM
3,Send,5/13/22 12:49 PM
23,Send,5/13/22 12:53 PM
3,Send,5/12/22 5:35 PM
35,Send,1/13/22 10:36 AM
32,Send,1/13/22 3:26 PM
23,Send,1/13/22 1:32 PM
38,Send,1/13/22 1:33 PM
13,Send,1/13/22 2:37 PM
3,Send,1/13/22 3:54 PM
23,Send,1/6/22 3:23 PM
23,Send,1/6/22 3:24 PM
32,Send,1/6/22 3:31 PM
38,Send,1/6/22 2:39 PM
35,Send,1/6/22 2:41 PM
3,Send,1/6/22 4:37 PM
35,Send,2/16/22 12:32 PM
13,Send,2/16/22 1:55 PM
13,Send,2/16/22 1:55 PM
38,Send,2/16/22 3:34 PM
23,Send,2/16/22 6:16 PM
23,Send,2/16/22 6:17 PM
32,Send,2/16/22 3:33 PM
35,Send,2/17/22 7:49 AM
32,Send,2/17/22 1:52 PM
13,Send,2/17/22 2:04 PM
13,Send,2/17/22 2:18 PM
35,Send,2/21/22 2:54 PM
38,Send,2/21/22 4:11 PM
